Sample ID,Storage Week ,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK,Malic-SK,Asc-SK,Shik-SK,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA,PA,7OH-ABA,ABA-GE,TSS,Firmness
DCA1_S41,11,Mid,0.13,0.11,1.49,2.67,0.25,1.16,0.26,0,0.02,0.1,0.61,0.26,0.12,38.05,0.93,27.46,0.17,0.11,0.36,5.807,1.113,8.289,0.201,0.054,0.366,274.819,10.077,70.163,90.54,23.45,1.9,0,4.9,69.6,14.45,69.857185
DCA1_S42,11,Mid,0.2,0.15,1.29,2.84,0.31,0.92,2.83,0.1,0.27,0.49,2.35,1.08,0.14,39.35,0.96,24.86,0.23,0.09,0.37,7.393,0,9.954,0.937,0.041,0,236.151,10.535,64.425,78.969,10.8,0.1,0,5.15,63.75,14.35,74.788245
DCA1_S43,17,Mid,0.15,0.1,1.54,2.47,0.32,0.33,2.4,0.14,0.3,0.46,2.17,0.89,0.2,24.43,1.86,29.94,0.14,0.11,0.33,8.693,2.03,13.202,1.358,0.102,0.462,388.997,20.972,113.644,85.214,19.4,67,6.3,11.1,113.8,12.9,68.13055
DCA1_S44,17,Mid,0.13,0.08,1.39,2.8,0.33,0.89,3.09,0.11,0.3,0.54,2.47,0.97,0.15,19.55,1.4,18.95,0.16,0.07,0,5.018,0.823,9.872,1.229,0.056,0.278,147.656,10.024,45.285,49.167,17.3,55.3,3.9,7.1,100.9,15,71.894375
DCA1_S45,17,Mid,0.19,0.15,1.11,3.01,0.51,0.68,3.34,0.14,0.38,0.69,3.25,1.28,0.2,14.27,1.02,17.15,0.1,0.07,0,10.042,2.953,25.765,2.301,0.126,0.361,321.949,18.955,99.668,78.836,14.1,65.7,0,7.3,70.3,14.85,69.713555
DCA1_S46,17,Mid,0.24,0.13,1.23,3.28,0.8,0.53,3.79,0.25,0.5,0.62,2.96,1.17,0.2,14.89,1.26,15.86,0.06,0.07,0,5.851,2.301,12.564,1.084,0.088,0.458,257.622,12.407,72.724,35.322,31.8,52.1,0,0,203.2,13.75,76.641665
DCA1_S47,17,Mid,0.19,0.16,1.59,3.54,0.31,2.18,3,0.05,0.26,0.57,2.65,1.07,0.21,15.69,0.91,18.43,0.08,0.05,0,6.61,1.926,10.445,1.045,0.075,0.483,378.424,21.686,108.979,173.751,18.6,40,4,7.9,72.7,14.85,82.541605
DCA1_S48,17,Mid,0.16,0.13,1.46,3.33,0.38,1.55,2.13,0.05,0.2,0.41,2.11,0.74,0.15,19.78,1.19,23.39,0.11,0.07,0.25,5.269,0,10.121,0.76,0.04,0,144.445,11.332,45.273,44.32,20.9,29.7,3.6,6.1,109.3,15.15,71.852045
DCA1_S49,17,Mid,0.17,0.13,0.93,1.89,0.44,0.87,4.43,0.36,0.7,0.69,3.13,1.16,0.15,18.16,1.19,18.67,0.03,0.07,0,9.935,1.899,13.234,1.278,0.086,0.364,183.014,12.049,53.679,42.923,26.5,70.1,0,6.7,162.6,14.3,72.13149
DCA1_S50,17,Mid,0.2,0.19,1.79,2.99,0.37,0.99,1.85,0.02,0.16,0.44,2.14,0.92,0.18,21.21,1.42,22.32,0.19,0.07,0,6.058,1.905,12.015,1.413,0.063,0.357,223,12.697,66.087,65.188,18.9,38.2,0,7.5,78,15,81.18603
