Sample ID,Storage Week,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK ,Malic-SK ,Asc-SK,Shik-SK ,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA ,PA ,7-OH-ABA ,ABA-GE ,TSS,Firmness
CA-S46,17,Mid,0.273170291,0,0.935931478,1.928700967,0.70181146,0.153044423,0.805377946,0,0.101229495,0.263908583,0.532679435,0.580675186,0.224150187,0,1.974910688,20.99104698,0.131912298,0.186298881,0.43184094,14.89110293,3.061972385,17.39048633,1.028766704,0.259701092,1.106706246,585.5182395,12.74642473,173.536927,71.79630687,77.09046287,28.82572247,5.208546166,0,193.8556881,15.8,74.579305
CA-S47,17,Mid,0.157286761,0.098336871,0.890404224,1.953199043,0.37782028,0.6126817,0.23159585,0,0.053447403,0.127861301,0.211800498,0.217270101,0.12276714,0,0.810179084,10.72212652,0.109206042,0.11091497,0.411615734,5.882258793,0.897312149,6.564002981,0.428140844,0.114345619,0.370527092,714.2669188,15.979533,143.9376322,188.1289822,53.26695141,2.830932499,2.977312432,7.958944876,97.64408139,14.25,71.08205
CA-S48,17,Mid,0.242871251,0,0.901621219,1.697349453,0.420931681,0.36493035,1.118620989,0,0.132960858,0.269381601,0.491468378,0.557770463,0.120830919,0,0.979693906,11.89989564,0.159356704,0.113996019,0,5.164938872,0.800248649,5.261863597,0.497922898,0.106355522,0.445012,506.3285353,11.29381343,91.06711621,208.5436214,71.67600525,3.526777432,3.164487275,9.598192421,107.1167119,14.4,73.616275
CA-S49,17,Mid,0.161002285,0.111916831,0.906395248,2.318702818,0.438917586,1.445802211,1.146011865,0.078728784,0.165260865,0.292671773,0.639130629,0.70326881,0.218496708,0.624134714,1.165112651,17.96656109,0.134599365,0.133768844,0.37184587,15.65278589,1.858146207,16.0649347,1.328124939,0.159769758,0.971814734,525.1168876,9.758760776,93.11622563,163.7200918,53.71226072,3.168636973,3.458927717,8.179339991,117.7777701,16.15,87.37396
CA-S50,17,Mid,0.349219484,0,0.885276582,1.779763292,0.359197268,0.289109491,0.262790072,0.042674428,0.068451263,0.15787619,0.286713214,0.325182546,0.163697917,0,1.941038927,24.15355003,0.126912604,0.194814857,0.60216735,17.09278832,3.357347034,21.08094388,0.573799761,0.236679234,1.227133146,593.5368844,16.70570457,175.2025715,47.22853853,36.88908086,16.91609261,4.466148587,9.17230238,149.4852441,14.75,82.1245
CA-S51,17,Mid,0.155750386,0,0.8999198,2.003954279,0.460361411,0.84387163,0.8910977,0.075830492,0.130679814,0.244107319,0.494153086,0.597966155,0.150626241,0,0.924183661,15.60174649,0.112955168,0.128094025,0.357872361,16.74672101,1.985879969,20.51395325,0.941294229,0.205328856,0.866521569,633.4959125,15.80034452,121.1225574,195.0539641,47.59941477,4.026244414,3.953389099,10.21719102,108.6634432,15.4,85.621695
CA-S52,17,Mid,0.339629898,0,0.867554496,2.200308384,0.496507289,0.303447092,0.339424211,0.039161202,0.080806767,0.186773304,0.366970954,0.370614831,0.206890816,0.527440714,1.498833677,19.4848473,0.111402702,0.154833093,0.373906568,17.55554802,3.484991486,23.65764168,0.526020055,0.251710062,0.605839646,582.3525936,10.42334944,133.4445208,72.29045747,58.49749728,9.908075916,4.535804985,11.12551958,145.5818093,16.25,75.76065
CA-S53,17,Mid,0.174598818,0.124023684,0.845096584,2.193383778,0.496705324,0.830849346,0.631686183,0,0.089792889,0.206534123,0.432204057,0.422803854,0.155149675,0,1.626431238,27.75843948,0.183283493,0.149546786,0.521642282,13.92620043,1.979820071,17.57512317,1.027695643,0.167501475,0.819885511,492.7958806,8.887296317,76.81215051,201.7859876,44.54800262,8.240787193,4.569628132,11.02401474,154.0201823,13.55,68.14989
CA-S54,17,Mid,0.211680473,0.15385264,0.75188044,2.503025052,0.395322635,1.837985296,0.982627852,0,0.087677668,0.202786849,0.423096497,0.50299452,0.195437354,0.564522948,1.790120738,25.596961,0.140926316,0.153252366,0.569667717,18.0321103,2.290186328,16.8717277,1.106576097,0.14525791,1.009988865,540.2661917,7.403765651,94.75787754,129.1583649,36.26199346,5.13305867,3.536043254,7.490911509,51.87193416,15,86.11068
CA-S55,23,Late,0.256277713,0,0.716496452,1.602576247,0.356330889,0.160967834,0.364514205,0.048312779,0.084113008,0.183509516,0.334437629,0.361643886,0.153541635,26.48349301,1.153549925,33.41955604,0.161072488,0.160263822,0.280167971,15.07457611,1.529759542,22.17997272,0.704843602,0.166560398,0.287668136,558.375909,14.55157868,104.4565317,154.7701332,32.97147448,5.71996052,3.671190877,8.869333434,78.30111944,14.6,65.98845
